Team,Elo,League
Kawasaki,1857,J1
Yokohama FM,1769,J1
S. Tosu,1644,J1
Kashima,1756,J1
Nagoya,1689,J1
Vissel Kobe,1657,J1
Urawa Reds,1688,J1
Sanfrecce,1619,J1
Sapporo,1684,J1
Cerezo Osaka,1632,J1
Fukuoka,1628,J1
Shonan,1625,J1
Tokyo,1625,J1
Gamba Osaka,1592,J1
Ryukyu,1570,J2
Kyoto Sanga,1573,J2
Sendai,1564,J1
Shimizu,1569,J1
Albirex Niigata,1577,J2
Ventforet Kofu,1561,J2
Jubilo Iwata,1585,J2
Oita,1548,J1
Kashiwa,1541,J1
Machida Z,1526,J2
Tokushima V,1512,J1
Zweigen Kanazawa,1508,J2
Tochigi,1508,J2
Chiba,1521,J2
Yamagata,1505,J2
Yamaguchi,1468,J2
Yokohama,1501,J1
Nagasaki,1511,J2
Mito Hollyhock,1487,J2
Okayama,1473,J2
Ehime,1440,J2
RB Omiya Ardija,1426,J2
Kitakyushu,1449,J2
Tokyo Verdy,1468,J2
Kusatsu,1449,J2
Matsumoto,1391,J2
Gifu,1398,J3
Blaublitz,1386,J2
Toyama,1389,J3
Kumamoto,1379,J3
Fukushima United,1370,J3
Iwate,1365,J3
Fujieda,1365,J3
Sagamihara,1318,J2
Hachinohe,1336,J3
Nagano Parceiro,1336,J3
Kagoshima United,1333,J3
Imabari,1322,J3
Numazu,1319,J3
Gainare Tottori,1318,J3
Sanuki,1303,J3
YSCC,1303,J3
Miyazaki,1264,J3
Juntendo U,1165,University
Tochigi City,1084,Div1
Nirasaki,966,TBD
Maebashi,885,Div2
