Date, Tournament, Round, HomeTeam, AwayTeam, Referee, HomeGoals, AwayGoals, HomeShots, AwayShots, HomeTarget, AwayTarget, HomeCorners, AwayCorners, HomeFouls, AwayFouls, HomeYellows, AwayYellows, HomeReds, AwayReds, HomexG, AwayxG, OddsW1, OddsX, OddsW2, OddsOver2.5, OddsUnder2.5, OddsBttsYes, OddsBttsNo, LineCorners, OverCorners, UnderCorners, LineCards, OverCards, UnderCards, LineShots, OverShots, UnderShots, LineTarget, OverTarget, UnderTarget, HomeElo, AwayElo, ApplyHome

2026-06-11, World Cup, Group Stage, Corea del Sur, República Checa, Amin Omar, 2, 1, 15, 8, 6, 4, 4, 5, 9, 16, 1, 0, 0, 0, 1.84, 0.85, 2.60, 3.10, 2.90, 2.20, 1.66, 1.80, 1.95, 8.5, 1.80, 1.90, 3.5, 1.72, 2.00, 22.5, 2.37, 1.48, 7.5, 1.67, 2.07, 1758, 1740, false
2026-06-11, World Cup, Group Stage, México, Sudáfrica, Wilton Sampaio, 2, 0, 16, 3, 4, 2, 3, 1, 12, 11, 1, 2, 1, 2, 1.41, 0.07, 1.40, 4.50, 8.50, 2.20, 1.66, 2.50, 1.50, 8.5, 1.80, 1.90, 4.5, 2.10, 1.66, 22.5, 1.85, 1.85, 7.5, 1.71, 2.01, 1875, 1517, true
2026-06-12, World Cup, Group Stage, Canadá, Bosnia y Herzegovina, Facundo Tello, 1, 1, 13, 8, 4, 3, 9, 4, 10, 20, 2, 3, 0, 0, 1.25, 0.98, 1.80, 3.50, 4.75, 2.20, 1.67, 2.00, 1.75, 9.5, 2.10, 1.67, 4.5, 2.10, 1.67,,,,,,, 1809, 1574, true
2026-06-12, World Cup, Group Stage, Estados Unidos, Paraguay, Danny Makkelie, 4, 1, 16, 9, 6, 1, 3, 1, 13, 17, 1, 5, 0, 0, 1.34, 0.47, 2.05, 3.30, 3.80, 2.38, 1.57, 2.05, 1.70, 9.5, 2.10, 1.67, 3.5, 1.73, 2.00,,,,,,, 1726, 1834, true
2022-12-18, World Cup, Final, Argentina, Francia, , 2, 2, 12, 6, 7, 3, 4, 3, 20, 16, 2, 3, 0, 0, 1.81, 1.12, 2.70, 3.10, 2.88, 2.20, 1.66, 1.90, 1.90, , , , , , , , , , , , , 2150, 2075, false
2022-12-17, World Cup, 3rd Place, Croacia, Marruecos, , 2, 1, 12, 9, 4, 2, 6, 3, 13, 11, 0, 2, 0, 0, 0.66, 1.19, 2.20, 3.50, 3.10, 1.80, 2.00, 1.66, 2.10, , , , , , , , , , , , , 1923, 1896, false
2022-12-14, World Cup, Semifinal, Francia, Marruecos, , 2, 0, 14, 13, 3, 3, 2, 3, 11, 11, 0, 1, 0, 0, 2.10, 1.00, 1.55, 4.00, 6.50, 2.30, 1.61, 2.25, 1.57, , , , , , , , , , , , , 2045, 1923, false
2022-12-13, World Cup, Semifinal, Argentina, Croacia, , 3, 0, 9, 12, 7, 2, 2, 4, 15, 8, 2, 2, 0, 0, 2.34, 0.52, 1.95, 3.10, 4.75, 2.50, 1.53, 2.10, 1.66, , , , , , , , , , , , , 2121, 1942, false
2022-12-10, World Cup, Quarterfinal, Inglaterra, Francia, , 1, 2, 16, 8, 8, 5, 5, 2, 10, 14, 1, 3, 0, 0, 2.41, 1.01, 2.75, 3.10, 2.70, 2.30, 1.61, 1.95, 1.80, , , , , , , , , , , , , 1994, 2017, false
2022-12-10, World Cup, Quarterfinal, Marruecos, Portugal, Facundo Tello, 1, 0, 9, 12, 3, 3, 3, 9, 15, 9, 3, 1, 1, 0, 1.40, 0.92, 6.50, 3.80, 1.56, 2.10, 1.72, 2.10, 1.66, , , , , , , , , , , , , 1880, 2041, false
2022-12-09, World Cup, Quarterfinal, Países Bajos, Argentina, , 2, 2, 6, 14, 2, 5, 2, 8, 30, 18, 8, 8, 1, 0, 0.55, 1.92, 3.60, 3.10, 2.20, 2.50, 1.53, 2.05, 1.70, , , , , , , , , , , , , 2068, 2126, false
2022-12-09, World Cup, Quarterfinal, Croacia, Brasil, , 0, 0, 6, 15, 0, 8, 2, 5, 15, 13, 1, 3, 0, 0, 0.40, 1.33, 8.50, 4.50, 1.40, 1.90, 1.90, 2.20, 1.61, , , , , , , , , , , , , 1935, 2150, false
2022-12-06, World Cup, Ro16, Portugal, Suiza, , 6, 1, 15, 10, 9, 3, 6, 6, 12, 10, 0, 2, 0, 0, 2.36, 1.07, 2.00, 3.50, 3.80, 1.90, 1.90, 1.75, 2.00, , , , , , , , , , , , , 1992, 1927, false
2022-12-06, World Cup, Ro16, Marruecos, España, , 0, 0, 4, 7, 1, 1, 0, 4, 11, 14, 1, 1, 0, 0, 0.37, 0.62, 6.00, 3.75, 1.62, 2.10, 1.72, 2.05, 1.70, , , , , , , , , , , , , 1869, 2008, false
2022-12-05, World Cup, Ro16, Brasil, Corea del Sur, , 4, 1, 18, 8, 9, 6, 5, 4, 8, 13, 0, 1, 0, 0, 3.60, 0.48, 1.20, 6.50, 13.00, 1.66, 2.20, 2.50, 1.50, , , , , , , , , , , , , 2137, 1801, false
2022-12-05, World Cup, Ro16, Japón, Croacia, , 1, 1, 9, 12, 3, 3, 5, 4, 11, 13, 0, 1, 0, 0, 1.00, 1.06, 3.80, 3.25, 2.05, 2.30, 1.61, 2.00, 1.75, , , , , , , , , , , , , 1842, 1944, false
2022-12-04, World Cup, Ro16, Inglaterra, Senegal, , 3, 0, 8, 10, 4, 1, 3, 3, 16, 12, 0, 1, 0, 0, 1.02, 0.80, 1.60, 3.60, 6.50, 2.30, 1.61, 2.25, 1.57, , , , , , , , , , , , , 1968, 1771, false
2022-12-04, World Cup, Ro16, Francia, Polonia, , 3, 1, 16, 12, 8, 3, 7, 1, 10, 8, 1, 2, 0, 0, 1.37, 1.75, 1.35, 4.75, 9.00, 1.80, 2.00, 2.00, 1.75, , , , , , , , , , , , , 1992, 1826, false
2022-12-03, World Cup, Ro16, Argentina, Australia, , 2, 1, 14, 5, 5, 1, 1, 3, 6, 15, 0, 2, 0, 0, 1.69, 0.59, 1.29, 6.00, 9.00, 1.80, 2.00, 2.37, 1.53, , , , , , , , , , , , , 2118, 1780, false
2022-12-03, World Cup, Ro16, Países Bajos, Estados Unidos, , 3, 1, 11, 17, 6, 8, 4, 5, 10, 5, 2, 0, 0, 0, 1.67, 1.49, 1.91, 3.30, 4.33, 2.30, 1.61, 2.00, 1.75, , , , , , , , , , , , , 2047, 1838, false
2022-12-02, World Cup, Group Stage, Camerún, Brasil, , 1, 0, 7, 21, 3, 7, 3, 11, 14, 14, 5, 2, 1, 0, 0.47, 2.48, 11.00, 5.25, 1.30, 1.66, 2.20, 2.05, 1.70, , , , , , , , , , , , , 1618, 2195, false
2022-12-02, World Cup, Group Stage, Serbia, Suiza, , 2, 3, 12, 14, 4, 7, 2, 0, 18, 14, 7, 4, 0, 0, 1.32, 2.79, 2.55, 3.30, 2.80, 2.00, 1.80, 1.75, 2.00, , , , , , , , , , , , , 1862, 1900, false
2022-12-02, World Cup, Group Stage, Corea del Sur, Portugal, Facundo Tello, 2, 1, 13, 13, 6, 6, 5, 4, 9, 10, 2, 0, 0, 0, 1.71, 1.29, 4.00, 3.75, 1.85, 2.00, 1.80, 1.95, 1.80, , , , , , , , , , , , , 1750, 1941, false
2022-12-02, World Cup, Group Stage, Ghana, Uruguay, , 0, 2, 10, 12, 4, 7, 5, 2, 18, 11, 2, 5, 0, 0, 1.61, 1.81, 4.50, 3.80, 1.75, 2.00, 1.80, 1.95, 1.80, , , , , , , , , , , , , 1608, 1889, false
2022-12-01, World Cup, Group Stage, Japón, España, , 2, 1, 6, 12, 3, 5, 0, 2, 9, 6, 3, 0, 0, 0, 1.45, 1.04, 6.50, 4.33, 1.50, 2.00, 1.80, 2.10, 1.66, , , , , , , , , , , , , 1793, 2057, false
2022-12-01, World Cup, Group Stage, Costa Rica, Alemania, , 2, 4, 8, 32, 6, 11, 1, 14, 3, 9, 1, 0, 0, 0, 1.11, 6.06, 26.00, 11.00, 1.08, 1.36, 3.20, 2.75, 1.40, , , , , , , , , , , , , 1763, 1930, false
2022-12-01, World Cup, Group Stage, Croacia, Bélgica, , 0, 0, 11, 16, 4, 3, 2, 4, 7, 9, 0, 1, 0, 0, 0.70, 3.07, 3.00, 3.40, 2.38, 2.00, 1.80, 1.75, 2.00, , , , , , , , , , , , , 1944, 1947, false
2022-12-01, World Cup, Group Stage, Canadá, Marruecos, , 1, 2, 5, 6, 0, 2, 6, 2, 14, 14, 4, 0, 0, 0, 1.35, 0.53, 4.75, 3.40, 1.83, 2.30, 1.61, 2.10, 1.66, , , , , , , , , , , , , 1731, 1849, false
2022-11-30, World Cup, Group Stage, Polonia, Argentina, Danny Makkelie, 0, 2, 4, 23, 0, 12, 1, 9, 6, 11, 1, 1, 0, 0, 0.32, 3.69, 8.50, 4.50, 1.40, 2.10, 1.72, 2.37, 1.53, , , , , , , , , , , , , 1843, 2101, false
2022-11-30, World Cup, Group Stage, Arabia Saudita, México, , 1, 2, 10, 26, 2, 11, 1, 8, 20, 18, 6, 1, 0, 0, 1.11, 2.30, 5.50, 4.20, 1.56, 1.90, 1.90, 2.00, 1.75, , , , , , , , , , , , , 1665, 1793, false
